Common Name,Scientific Name,Local Status,Order,Family,Text 1 Heading,Text 1 Body,Text 2 Heading,Text 2 Body,Text 3 Heading,Text 3 Body
American Beaver,Castor canadensis,Native,Mammals,,Habitat,Dams built in streams,Diet,"Herbs, bark, twigs",Fun Fact,"The beavers' dams are built not just for shelter, but also to store caches of food for the winter."
American Black Bear,Ursus americanus,Native,Mammals,,Habitat,Well-covered areas such as forests or swamps,Diet,"Small mammals, fish, insects, nuts, berries, etc.",Fun Fact,"An adult black bear will sometimes travel as far as 95 miles in a year, marking trees with their claws as they go."
Big Brown Bat,Eptesicus fuscus fuscus,Native,Mammals,,Habitat,"Caves or manmade structures (barns, churches)",Diet,Insects,Fun Fact,Big brown bats can eat up to one third their body weight in insects on a single night.
Bobcat,Lynx rufus floridanus,Native,Mammals,,Habitat,"Forests, mountains, other areas with rugged terrain",Diet,"Small animals, particularly rodents",Fun Fact,"It's rare, but not impossible, for a bobcat to kill and eat large animals such as livestock."
Common Gray Fox,Urocyon cinereoargenteus,Native,Mammals,Foxes,Habitat,"Upland woods, swamps",Diet,Small animals in winter/spring; insects and fruit in summer/fall,Fun Fact,Gray foxes are adept climbers and will use trees in order to escape enemies.
Eastern Deer Mouse,Peromyscus maniculatus,Native,Mammals,,Habitat,Herbaceous vegetation,Diet,"Seeds, fruit, insects",Fun Fact,A deer mouse's tail makes up more than half of its entire length and features a pencil-shaped tip.
Coyote,Canis latrans,Native,Mammals,,Habitat,"Hills, forests, brushy areas",Diet,"Just about anything - mammals, insects, fruits, etc.",Fun Fact,Coyotes are opportunistic feeders and can adapt to many different kinds of environment.
Eastern Chipmunk,Tamias striatus fisheri,Native,Mammals,,Habitat,"Forests, brushlands, logs, stone walls",Diet,"Seeds, fruit, insects",Fun Fact,"Eastern chipmunks hibernate through the cold season, going underground in mid-November and emerging early February."
Eastern Gray Squirrel,Sciurus carolinensis carolinensis,Native,Mammals,,Habitat,"Forests, parks, backyards",Diet,"Seeds, fruit, insects",Fun Fact,Gray squirrels have many different calls to communicate and can live for up to 6 years In the wild.
Northern Raccoon,Procyon lotor lotor,Native,Mammals,,Habitat,"Forests, cities, parks",Diet,"Extremely omnivorous: invertebrates, vertebrates, plants",Fun Fact,Raccoons are highly intelligent animals and can remember solutions to tasks for at least three years.
Northern River Otter,Lontra canadensis lataxina,Native,Mammals,,Habitat,Inland waterways and coasts,Diet,Fish and other small aquatic animals,Fun Fact,An otter's den will have multiple tunnel openings and allow access to both land and water.
Red Fox,Vulpes vulpes,Native,Mammals,Foxes,Habitat,"Forests, farms, urban edges",Diet,"Mostly rabbits and mice, plus fruits and insects",Fun Fact,Red foxes will occasionally capture moles and give them to their pups as playthings.
Southern Flying Squirrel,Glaucomys volans saturatus,Native,Mammals,,Habitat,Heavily wooded areas near water,Diet,"Fruit, nuts, insects, bird eggs",Fun Fact,Southern flying squirrels can find their way back to their nests from up to a kilometer away.
Striped Skunk,Mephitis mephitis mephitis,Native,Mammals,,Habitat,"Fields, forest edges",Diet,"Insects, small animals, fruit",Fun Fact,"Striped skunks use a powerful, smelly spray from scent glands to defend themselves. The glands then take two weeks to refill."
Virginia Opossum,Didelphis virginiana virginiana,Native,Mammals,,Habitat,Wooded areas near water,Diet,"Fruit, grain, plants, carrion",Fun Fact,"Opossums are famous for ""playing possum"", i.e. playing dead in order to deter predators."
White-tailed Deer,Odocoileus virginianus,Native,Mammals,,Habitat,Forests,Diet,"Leaves, twigs, nuts",Fun Fact,"When white-tailed deer run away from danger, the visible white of their tails acts as an alert to other deer."
Woodchuck or Groundhog,Marmota monax,Native,Mammals,,Habitat,"Open woods, fields, brush",Diet,"Wild grass, vegetation",Fun Fact,"You wouldn't know it from looking at them, but woodchucks/groundhogs are actually excellent swimmers and decent climbers."
North American Bullfrog,(Lithobates catesbeianus),Native,Amphibians,Frogs,Habitat,"Ponds, swamps, lakes",Diet,Aquatic animals (including tadpoles) and insects,Fun Fact,"Their name comes from the deep, bull-like call that they make during breeding season."
Barking Treefrog,(Dryophytes gratiosus),Native,Amphibians,Frogs,Habitat,"Trees, bushes",Diet,"Insects, beetles, anything they can swallow",Fun Fact,"During breeding season, groups of males often ""bark"" together in unison."
Cope's Gray Treefrog,(Dryophytes chrysoscelis),Native,Amphibians,Frogs,Habitat,Wooded areas near wetlands,Diet,"Insects, snails",Fun Fact,"Cope's gray treefrogs are highly freeze tolerant, able to survive temperatures as low as 18°F (-8 °C)."
Eastern American Toad,(Anaxyrus americanus americanus),Native,Amphibians,Frogs,Habitat,"Woods, grasslands, yards",Diet,"Insects, worms, snails",Fun Fact,"One American toad can eat up to 1,000 insects every day."
Eastern Cricket Frog,(Acris crepitans),Native,Amphibians,Frogs,Habitat,"Pond edges, wetlands",Diet,Insects,Fun Fact,An Eastern cricket frog can leap up to 3 feet in a single jump to evade predators.
Eastern Narrow-mouthed Toad,(Gastrophryne carolinensis),Native,Amphibians,Frogs,Habitat,"Woods, marshes",Diet,"Insects, mostly ants",Fun Fact,Don't touch your face after handling one - their skin secretion causes a violent burning sensation in the eyes.
Eastern Spadefoot,(Scaphiopus holbrookii),Native,Amphibians,Frogs,Habitat,Forests and other areas with loose soil,Diet,Insects,Fun Fact,"Their name comes from the spade-shaped appendages protruding from their hind feet, which are useful for burrowing."
